data (16)
Date,Max Air Temperature,Min Air Temperature,Mean Air Temperature,Max RH,Min RH,Mean RH,3m Max Wind Speed,3m Mean Wind Speed,3m Wind Direction,Rain,Solar Radiation,
,C,C,C,%,%,%,m/s,m/s,deg,mm,MJ/m^2,
2018-01-01,8.8,-3.4,3.5,70.6,32.5,48.6,,,,0,11.28,
2018-01-02,14.4,-5.3,3.8,80.4,21.6,47.2,,,,0,11.28,
2018-01-03,12.6,-7.8,2.9,75.9,13.6,40.8,,,,0,10.33,
2018-01-04,13.3,-2.8,5.1,65.6,20.6,38.6,,,,0,3.91,
2018-01-05,19.1,-5.4,4.6,76.2,14.3,45.7,,,,0,10.96,
2018-01-06,17.6,-3.7,6.6,71.7,22.8,45.6,,,,0,9.82,
2018-01-07,19.8,2.3,12.0,59.6,20.4,36.2,,,,0,10.83,
2018-01-08,17.9,-0.1,7.8,67.1,22,45.4,,,,0,9.49,
2018-01-09,20.7,-0.3,9.6,74.9,24.6,49.1,,,,0,10.41,
2018-01-10,14.0,3.4,9.4,79.4,40.8,55.8,,,,0.508,7.42,
2018-01-11,16.4,-1.3,8.4,79.3,15.9,45.8,,,,0,12.66,
2018-01-12,18.7,-5.2,5.4,75.2,15.3,42.8,,,,0,12.73,
2018-01-13,18.8,-1.6,6.2,66.0,16.4,42.0,,,,0,12.84,
2018-01-14,19.6,-3.3,6.2,66.3,14.6,40.5,,,,0,12.49,
2018-01-15,19.5,-4.3,6.2,70.7,15.2,42.1,,,,0,10.97,
2018-01-16,5.5,-2.3,1.0,55.4,22.5,34.5,,,,0,9.70,
2018-01-17,6.6,-7.6,-0.1,66.3,27.6,41.8,,,,0,9.99,
2018-01-18,14.5,-7.6,1.5,70.3,17.2,44.6,,,,0,13.13,
2018-01-19,18.0,-7.3,3.7,72.2,17.5,43.7,,,,0,12.65,
2018-01-20,20.9,-5.8,9.0,75.9,14.0,37.8,,,,0,13.05,
2018-01-21,10,-2.8,6.1,57.6,20.2,36.8,,,,0,13.39,
2018-01-22,10.9,-8.9,1.3,74.3,13.1,37.9,,,,0,13.27,
2018-01-23,15.3,-6.4,2.0,63.7,10.4,30.7,,,,0,13.85,
2018-01-24,15.8,-6.3,3.4,58.2,9.0,28.7,,,,0,14.06,
2018-01-25,16.5,-5.1,4.4,64.0,15.4,32.9,,,,0,13.64,
2018-01-26,19.0,-4.7,7.2,71.4,7.9,34.1,,,,0,13.49,
2018-01-27,16.9,-4.8,5.3,52.7,11.7,25.1,,,,0,14.05,
2018-01-28,19.3,-6.0,5.1,60.3,7.8,25.5,,,,0,14.29,
2018-01-29,18.5,-4.5,6.6,58.1,13.7,30.4,,,,0,14.21,
2018-01-30,19.6,-4.4,6.4,65.5,19.2,39.3,,,,0,14.39,
2018-01-31,22.9,-4.0,8.5,72.5,7.7,36.0,,,,0,14.56,
2018-02-01,24.8,-3.9,9.1,61.0,8.1,27.1,,,,0,13.92,
2018-02-02,19.1,1.3,10.8,52.6,14.6,28.0,,,,0,14.07,
2018-02-03,23.5,-1.9,11.1,73.8,10.4,33.3,,,,0,13.23,
2018-02-04,24.1,-2.2,10.1,61.6,9.8,30.4,,,,0,14.75,
2018-02-05,24.7,-2.4,11.5,57.8,8.5,27.2,,,,0,15.36,
2018-02-06,22.9,-0.4,11.7,52.7,9.6,26.6,,,,0,14.31,
2018-02-07,20.6,-0.6,9.0,77.1,11.6,40.0,,,,0,15.82,
2018-02-08,21.7,-3.7,7.6,57.9,10.6,29.9,,,,0,15.85,
2018-02-09,23.9,-2.7,10.3,55.9,9.2,25.5,,,,0,15.91,
2018-02-10,23.6,-1.4,13.0,53.3,9.5,23.7,,,,0,15.35,
2018-02-11,15.7,6.3,10.7,45.3,21.3,29.9,,,,0,14.55,
2018-02-12,20.0,5.2,10.9,40.1,18.2,29.7,,,,0,12.89,
2018-02-13,22.3,-1.0,10.7,65,11.0,33.0,,,,0,15.84,
2018-02-14,22.3,6.9,14.2,65.3,13.7,34.9,,,,0,11.66,
2018-02-15,15.2,6.8,11.4,92.8,60.9,78.2,,,,4.572,3.31,
2018-02-16,13.6,8.5,11.0,94.1,73.4,89.3,,,,14.478,3.51,
2018-02-17,16.3,8.4,11.3,93.8,47.9,79.6,,,,0.508,10.68,
2018-02-18,20.2,7.3,13.6,92.6,38.5,68.9,,,,0.254,11.38,
2018-02-19,20.3,8.6,14.3,87,26.4,53.4,,,,0,14.34,
2018-02-20,15.8,4.3,10.7,75.3,36.4,52.7,,,,0,11.08,
2018-02-21,17.0,0.2,9.0,89.9,25.8,53.6,,,,0,15.49,
2018-02-22,15.0,0.3,7.9,72.1,21.7,41.8,,,,0,17.93,
2018-02-23,19.6,-3.5,9.3,86.8,9.0,38.6,,,,0,18.42,
2018-02-24,12.7,-1.0,7.0,56.4,12.0,28.8,,,,0,18.80,
2018-02-25,15.9,-5.8,4.9,74.6,10.2,37.2,,,,0,18.86,
2018-02-26,20.4,-6.0,6.6,71.7,8.1,34.3,,,,0,19.00,
2018-02-27,21.3,-1.0,11.0,62.0,12.1,34.3,,,,0,15.08,
2018-02-28,14.2,3.3,8.5,68.7,24.4,47.0,,,,0,10.50,
2018-03-01,16.1,-4.1,6.3,84.7,17.2,48.4,,,,0,19.14,
2018-03-02,22.9,-0.9,10.1,66.6,11.2,34.9,,,,0,19.54,
2018-03-03,24.8,-0.4,12.1,69.9,6.0,30.2,,,,0,19.76,
2018-03-04,23.1,-1.4,11.1,58.4,5.3,24.9,,,,0,20.31,
2018-03-05,17.9,1.8,8.9,49.8,9.2,23.9,,,,0,16.47,
2018-03-06,19.6,1.6,8.8,45.2,6.6,17.5,,,,0,18.69,
2018-03-07,19.9,-0.8,10.1,47.0,9.2,20.4,,,,0,17.37,
